# NodeID	Attribute1	Attribute2	Attribute3	Attribute4	Attribute5	Attribute6	Attribute7	Attribute8	Attribute9	Attribute10	Attribute11	Attribute12	Attribute13	Attribute14	Attribute15	Attribute16	Attribute17	Attribute18	Attribute19	Attribute20	_id	OutDeg	Pagerank
GddgqTpTUb8LgT93hw	23512022	16	0	37.794833	-122.401334				7.MJR8tTVrIO1EgB	2487956	San Francisco	.7sOmlRQUL9nK.kMzA	12587707	San Francisco	NsbUWfBTUb4mbyVu	2347563	California	nz.gsghTUb4c2WAecA	23424977	United States	0	2	0.000003
Gyn7fcFTU7gkY7d5	2122265	16	0	55.765685	37.63011				Gyn7fcFTU7gkY7d5	2122265	Moscow	BmRxMRpQUL99Lw095Q	12598709	Moscow	yFvJfEtTUb5x9_pp	2346910	Moskva	gMMKN7VTUb7Dg.7SoQ	23424936	Russia	1	1	0.000002
gUrZ2NhXUrPDYlI	609125	16	0	45.756138	4.839649				gUrZ2NhXUrPDYlI	609125	Lyon	83k82XBQUL.FtjjXjQ	12597185	Rhone	GJLKnpBWU7.2Dufz	7153329	Rhone-Alpes	lbWye9tTUb6GOcp80w	23424819	France	2	1	0.000003
utDcX75WULinuOTP	7226244	14	0	-32.03049	115.826346				rffGOmhQUrNZ6keW	1098081	Perth				UyYA4yVTUb4SXtKy	2344706	Western Australia	3fHNxEZTUb4mc08chA	23424748	Australia	3	1	0.000003
ipiJQmxTWrmdIZV87g	28338068	14	0	25.78855	-80.189359				0zfXuENTVr_AbZgU	2450022	Miami	bo6KOIpQUL_MOsMimw	12587815	Miami-Dade	IPbJb2lTUb4Y7tKw	2347568	Florida	nz.gsghTUb4c2WAecA	23424977	United States	4	1	0.000003
qKXWPh5UV7KfWVE	558165	16	0	56.37588	8.13044				qKXWPh5UV7KfWVE	558165	Torsminde	41kH9SRQUL8nqK.Dmw	12582772	Holstebro	qwVZEixTWrnxfsiP9w	28362580	Midtjylland	wzcKZZdTUb7wa1WOFw	23424796	Denmark	5	1	0.000002
G78o6dVTUb09hIEf	2378792	15	0	46.675531	-122.975785				G78o6dVTUb09hIEf	2378792	Chehalis	YyvdiXtQUL.qk8cwNQ	12590460	Lewis	jyADg3RTUb65Hnbj	2347606	Washington	nz.gsghTUb4c2WAecA	23424977	United States	6	1	0.000002
AOvtseFQUrgW8Q	10293	15	0	52.414441	-4.086205				AOvtseFQUrgW8Q	10293	Aberystwyth	Fp2fVL9QULz2Ylvd4g	12602217	Ceredigion County	rz2baDpQUL9yHWKSJw	12578049	Wales	cnffEpdTUb5v258BBA	23424975	United Kingdom	7	1	0.000002
Xv1SuNJWU7xPPXA	716722	12	0	43.881438	7.647771				Xv1SuNJWU7xPPXA	716722	Isolabona	JaAxvBtQUL9.eMwT8Q	12591858	Imperia	DrX_vb9WU7.Thkk8	7153337	Liguria	5QqgvRVTUb7tSzaDpQ	23424853	Italy	8	2	0.000004
SV5B_AxUVLtrqg	56144	16	0	17.171847	-61.835104				SV5B_AxUVLtrqg	56144	Cedar Valley Mill				PePtE3ZTUb4icTas	2344543	Saint John	O4AhWc1TUb4TQaIUrA	23424737	Antigua and Barbuda	9	1	0.000002
iQlgoOtTUbmvCwBlZQ	23399141	13	0	44.178387	-78.905954				iQlgoOtTUbmvCwBlZQ	23399141	Scugog	iIDhtJdTW7mLGdRk5g	29375180	Durham	KAOZv3VTUb6vc1Fc	2344922	Ontario	b9iFoOpTUb6KZ3MPGQ	23424775	Canada	10	1	0.000003
7ZvkRsBTULNiJ73b	2297839	16	0	21.921611	120.736055				7ZvkRsBTULNiJ73b	2297839	Hengchun Town	RCGenHRTUb6Kz7N3	2347340	Pingtung County	7mzqiStTUrqdyCyxvg	20070335	Taiwan	FnYzsLVTUb7w3bcfIg	23424971	Taiwan	11	1	0.000002
qHYypB5ZVL3D	8676	16	0	53.581627	-113.447281				qHYypB5ZVL3D	8676	Edmonton	iuNniR1TW7kvn2.JLg	29375228	Alberta	aZe42J5TUb6mIiaJ	2344915	Alberta	b9iFoOpTUb6KZ3MPGQ	23424775	Canada	12	2	0.000004
Ouy8vrVTUL0kgf0HbA	22723897	12	0	-23.536999	-46.632928				0RylrWxVV79p49E	455827	Sao Paulo	0Cr2VGtQUL90cdamqg	12582314	São Paulo	RANHF.pTUb7n07l1	2344868	Sao Paulo	xQfoS31TUb6eduaTWQ	23424768	Brazil	13	2	0.000005
83UbKq1UV7I51F6p5g	55806745	15	0	33.806854	-117.91542				UbwiuDRTUb_7VK8U	2354447	Anaheim	IRuuZctQUL8uVeI9Kg	12587699	Orange	NsbUWfBTUb4mbyVu	2347563	California	nz.gsghTUb4c2WAecA	23424977	United States	14	2	0.000004
pNcPDDRZVLpo0M0	860753	16	0	59.907408	10.751763				QAkFKjxZVLgK0Y0	862592	Oslo	0BxykMdTUrtp4GURaw	20100030	Bydel Gamle-oslo	wcAfH9FTUb5hN3ak	2346395	Oslo Fylke	.w.HEL1TUb59cTCREg	23424910	Norway	15	1	0.000002
duz0t41TVr1WqvxG	2472406	16	0	31.863184	-104.836767				duz0t41TVr1WqvxG	2472406	Pine Springs	p17.1V5QUL_ASrXv.g	12590061	Culberson	EMo2gYtTUb7oiO66	2347602	Texas	nz.gsghTUb4c2WAecA	23424977	United States	16	1	0.000003
55xoSohVVbK.sH0	478363	12	0	56.016807	23.419675				55xoSohVVbK.sH0	478363	Siauliai	utRIEHNTUb5DU9AD	2346082	Siauliai City Municipality	EwoWtt1UV7KlIPq1pQ	55848079	Siauliai County	OWYdY_xTUb7WSkjKmg	23424875	Lithuania	17	1	0.000003
pWITqVhYVbJl	9780	10	0	49.465669	-123.796348				pWITqVhYVbJl	9780	Sechelt	.4OnUelTW7k.8ZyBzA	29375208	Sunshine Coast	VjS6xONTUb6pGKV0	2344916	British Columbia	b9iFoOpTUb6KZ3MPGQ	23424775	Canada	18	1	0.000003
K.ftwR1YVLwxNF0	966900	16	0	50.820967	4.352098				b_4P.TNYVLL65Ls	968019	Bruxelles	rN6vx6NQUL9GLPFzvw	12591762	Brussel Hoofdstad	XgOq1xdUV7OlE4LmsQ	55965974	Capital Region of Brussels	KAx7uAdTUb4BXhB.8Q	23424757	Belgium	19	1	0.000002
D.RGUrtVUrzPQw	40632	15	0	51.480915	-0.60929				D.RGUrtVUrzPQw	40632	Windsor Castle	fvyLAdlTVLLGHWXfbw	26821262	Berkshire	2eIY2QFTVr_DwWZNLg	24554868	England	cnffEpdTUb5v258BBA	23424975	United Kingdom	20	1	0.000003
YRrs3tVWULgTtXO8	7225472	16	0	-27.397403	153.058819				khXM8m9QU7ofBD4U	1100661	Brisbane	1eMdn1RUV7LIyYJDbA	55864298	Brisbane	3QrPe3RTUb5k9oUb	2344702	Queensland	3fHNxEZTUb4mc08chA	23424748	Australia	21	1	0.000002
IoV.hJtQU7Mpf.U	119847	16	0	15.661222	-96.556435				IoV.hJtQU7Mpf.U	119847	El Coco	wazuHLhQULwItqy9Gg	12601100	Santa Maria Tonameca	.e8QWspTUb59h8hT	2346283	Oaxaca	S._RoQ1TUb4WzNIdpA	23424900	Mexico	22	1	0.000002
o7NdMslWW71FZl0	797121	16	0	49.991646	14.368507				EdMZdzlWW7zUBG8	796597	Prague	2YH11OpQUL_RUiszgA	12582589	Prague	L9tJ2elTUro9dIjzTg	20070472	Hlavni mesto Praha	5iL78XNTUb6Q0TIacg	23424810	Czech Republic	23	1	0.000002
YhnUsN5TUL3QT4zk6A	22723512	14	0	-12.121655	-77.046625				mDSfo_tVU7Lyuow	418440	Lima	97rYAJNTVLK6btQiNw	26805880	Lima	zwxXqLJTWrl0d5FelQ	28358302	Lima Metropolitan Area	h54yFcpTUb6T_sbwtA	23424919	Peru	24	1	0.000003
5r2jCRtTU7iIIY24	2122774	15	0	59.691009	30.457481				5r2jCRtTU7iIIY24	2122774	Pavlovsk	12ookMVQUL9dlSpY_A	12598660	Tosnensky	aDx__H5TUb73RawS	2346907	Leningradskaya Oblast	gMMKN7VTUb7Dg.7SoQ	23424936	Russia	25	1	0.000002
R_823h9TVr_Tdfxh	2453101	15	0	37.330617	-122.030982				cXPORkVTUbLYF59u	2388327	Cupertino	b3n8i7RQUL_rtDiYCQ	12587712	Santa Clara	NsbUWfBTUb4mbyVu	2347563	California	nz.gsghTUb4c2WAecA	23424977	United States	26	1	0.000003
7cIqvLdTWryc9WHSxg	28644242	12	0	-37.126107	175.525131				nLKNFsVTUb.zkA39	2350884	Thames	15K73F9UV7LT30vaig	55875910	Thames Coromandel District	CR3kkzZQV7rix55kVg	15021765	Waikato	X_2zAGVTUb5..jhXDw	23424916	New Zealand	27	1	0.000003
qB2VTgJTUb8XJGi5Lg	23512024	15	0	37.784986	-122.418015				7.MJR8tTVrIO1EgB	2487956	San Francisco	.7sOmlRQUL9nK.kMzA	12587707	San Francisco	NsbUWfBTUb4mbyVu	2347563	California	nz.gsghTUb4c2WAecA	23424977	United States	28	2	0.000004
PXpku1lUV7LCbrx.RA	55806437	12	0	44.993289	-93.23291				1.Yp_OFTVr9R5F8T	2452078	Minneapolis	cWjUkwlQUL9HBa6HeQ	12588823	Hennepin	nQHRI5hTUb6BzMQh	2347582	Minnesota	nz.gsghTUb4c2WAecA	23424977	United States	29	1	0.000002
wV_D0UFTVL2n2Mahzw	26793678	16	0	9.031842	-79.514274				wV_D0UFTVL2n2Mahzw	26793678	Amelia Denis de Icaza	PZ1YmkxTVL1bS0Deqw	26793141	San Miguelito	EKwIqM1TUb6ES1bI	2346558	Panama	F.rMeANTUb4uhvrqgA	23424924	Panama	30	1	0.000003
o3A0yu5TULKDig	22814	14	0	51.746867	-1.235017				YNJ5JLRSU7h9LA	31278	Oxford	6FvYv7NQULyvqR7P_g	12602175	Oxfordshire	2eIY2QFTVr_DwWZNLg	24554868	England	cnffEpdTUb5v258BBA	23424975	United Kingdom	31	1	0.000002
crKWMRtTUro8VRGyhw	20094209	16	0	51.449293	-2.607997				niTM5F9QUbNtxw	13963	Bristol	8yjxsiNQULwB6GEpCg	12602180	City of Bristol	2eIY2QFTVr_DwWZNLg	24554868	England	cnffEpdTUb5v258BBA	23424975	United Kingdom	32	1	0.000002
